molecule,smiles,max_abs,max_em,solvent,dc,etn
Huang-1,CCCCCCCCCCCCCCCCOc1cc(Cn2cc(Oc3ccc(cc3)c4ccc(c5ccc(OC6CN=NN6Cc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc5)c8nsnc48)nn2)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,403.0,535.0,DCM,8.93,0.309
Huang-1,CCCCCCCCCCCCCCCCOc1cc(Cn2cc(Oc3ccc(cc3)c4ccc(c5ccc(OC6CN=NN6Cc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc5)c8nsnc48)nn2)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,407.0,539.0,CFM,4.81,0.259
Huang-1,CCCCCCCCCCCCCCCCOc1cc(Cn2cc(Oc3ccc(cc3)c4ccc(c5ccc(OC6CN=NN6Cc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc5)c8nsnc48)nn2)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,408.0,527.0,THF,7.58,0.605
Huang-1,CCCCCCCCCCCCCCCCOc1cc(Cn2cc(Oc3ccc(cc3)c4ccc(c5ccc(OC6CN=NN6Cc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc5)c8nsnc48)nn2)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,409.0,519.0,TOL,2.3741,0.099
Huang-1,CCCCCCCCCCCCCCCCOc1cc(Cn2cc(Oc3ccc(cc3)c4ccc(c5ccc(OC6CN=NN6Cc7cc(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c(OCCCCCCCCCCCCCCCC)c7)cc5)c8nsnc48)nn2)cc(OCCCCCCCCCCCCCCCC)c1OCCCCCCCCCCCCCCCC,410.0,523.0,HEX,1.88,0.009
Sylvain-5,CCCCCCN(CCCCCC)C1=CC=C(C=C1)C2=CC(=C3N=C4C(=CC(=[N+]4[B-](F)(F)N23)C5=CC=C(C=C5)N(CCCCCC)CCCCCC)C6=CC=CC7=NSN=C67)C8=CC=CC9=NSN=C89,782.0,890.0,TOL,2.3741,0.099
Malek-QXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nccnc46)c7nsnc37)c8nccnc28,425.0,539.0,TOL,2.3741,0.099
Malek-QXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nccnc46)c7nsnc37)c8nccnc28,421.0,547.0,THF,7.58,0.605
Malek-QXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nccnc46)c7nsnc37)c8nccnc28,416.0,554.0,DCM,8.93,0.309
Malek-BXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nonc46)c7nsnc37)c8nonc28,498.0,610.0,TOL,2.3741,0.099
Malek-BXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nonc46)c7nsnc37)c8nonc28,491.0,590.0,THF,7.58,0.605
Malek-BXBT,CCCCCCCCCCc1sc(cc1)c2ccc(c3ccc(c4ccc(c5sc(CCCCCCCCCC)cc5)c6nonc46)c7nsnc37)c8nonc28,492.0,590.0,DCM,8.93,0.309
Yingnan-1,C1=CC=NC(=C1)NC2=CC=C(C3=NSN=C23)NC4=CC=CC=N4,505.0,607.0,HEX,1.88,0.009
Yingnan-1,C1=CC=NC(=C1)NC2=CC=C(C3=NSN=C23)NC4=CC=CC=N4,495.0,614.0,DCM,8.93,0.309
Yingnan-2,N1C2C=CC=CC2=Nc3c1cc(Nc4ccccn4)c5nsnc35,455.0,545.0,HEX,1.88,0.009
Yingnan-2,N1C2C=CC=CC2=Nc3c1cc(Nc4ccccn4)c5nsnc35,461.0,584.0,DCM,8.93,0.309
Yingnan-3,N1C2C=CC=CC2=Nc3c1c4n5ccccc5nc4c6nsnc36,430.0,545.0,DCM,8.93,0.309
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,353.0,421.0,TOL,2.3741,0.099
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,347.0,426.0,AcOEt,6.2,0.228
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,360.0,433.0,DCE,8.93,0.194
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,359.0,454.0,DMF,36.7,0.386
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,344.0,445.0,ACN,37.5,0.46
Ingrid-4a,C1=CC=C2C(=C1)N=C(S2)C3=CC4=NSN=C4C=C3,346.0,461.0,MeOH,32.613,0.762
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,349.0,417.0,TOL,2.3741,0.099
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,345.0,428.0,AcOEt,6.2,0.228
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,348.0,431.0,DCE,8.93,0.194
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,347.0,457.0,DMF,36.7,0.386
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,342.0,449.0,MeCN,37.5,0.46
Ingrid-4b,o1c2ccccc2nc1c3ccc4nsnc4c3,343.0,469.0,MeOH,32.613,0.762
Priscila-3,C(C#Cc1ccc(C#CCN2C3C=CC=CC3C4C=CC=CC24)c5nsnc15)N6C7C=CC=CC7C8C=CC=CC68,374.0,539.0,DIOX,2.25,0.164
Priscila-3,C(C#Cc1ccc(C#CCN2C3C=CC=CC3C4C=CC=CC24)c5nsnc15)N6C7C=CC=CC7C8C=CC=CC68,376.0,538.0,DCM,8.93,0.309
Priscila-3,C(C#Cc1ccc(C#CCN2C3C=CC=CC3C4C=CC=CC24)c5nsnc15)N6C7C=CC=CC7C8C=CC=CC68,375.0,511.0,MeOH,32.613,0.762
Priscila-3,C(C#Cc1ccc(C#CCN2C3C=CC=CC3C4C=CC=CC24)c5nsnc15)N6C7C=CC=CC7C8C=CC=CC68,372.0,516.0,ACN,37.5,0.46
Priscila-5,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N(c5ccccc5)c6ccccc6,377.0,571.0,DIOX,2.25,0.164
Priscila-5,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N(c5ccccc5)c6ccccc6,380.0,536.0,DCM,8.93,0.309
Priscila-5,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N(c5ccccc5)c6ccccc6,374.0,549.0,ACN,37.5,0.46
Priscila-7,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N5C6C=CC=CC6C7C=CC=CC57,376.0,570.0,DIOX,2.25,0.164
Priscila-7,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N5C6C=CC=CC6C7C=CC=CC57,377.0,560.0,DCM,8.93,0.309
Priscila-7,C(C#Cc1ccc(C#CCN(c2ccccc2)c3ccccc3)c4nsnc14)N5C6C=CC=CC6C7C=CC=CC57,375.0,550.0,MeOH,32.613,0.762
